pod,locked_version,direct_pod_declaration,local_source,dependencies
React-Fabric/componentregistrynative,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-rendererdebug; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies
React-Fabric/components,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-Fabric/components/legacyviewmanagerinterop (= 0.86.3); React-Fabric/components/root (= 0.86.3); React-Fabric/components/scrollview (= 0.86.3); React-Fabric/components/view (= 0.86.3); React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-rendererdebug; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies
React-Fabric/components/legacyviewmanagerinterop,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-rendererdebug; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies
React-Fabric/components/root,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-rendererdebug; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies
React-Fabric/components/scrollview,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-rendererdebug; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies
React-Fabric/components/view,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-renderercss; React-rendererdebug; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
React-Fabric/consistency,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-rendererdebug; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies
React-Fabric/core,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-rendererdebug; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies
React-Fabric/dom,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-rendererdebug; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies
React-Fabric/imagemanager,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-rendererdebug; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies
React-Fabric/leakchecker,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-rendererdebug; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies
React-Fabric/mounting,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-jsinspectortracing; React-logger; React-rendererdebug; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies
React-Fabric/observers,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-Fabric/observers/events (= 0.86.3); React-Fabric/observers/intersection (= 0.86.3); React-Fabric/observers/mutation (= 0.86.3); React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-rendererdebug; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies
React-Fabric/observers/events,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-rendererdebug; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies
React-Fabric/observers/intersection,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-rendererdebug; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies
React-Fabric/observers/mutation,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-rendererdebug; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies
React-Fabric/scheduler,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-Fabric/animationbackend; React-Fabric/observers/events; React-Fabric/viewtransition; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-performancecdpmetrics; React-performancetimeline; React-rendererdebug; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies
React-Fabric/telemetry,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-rendererdebug; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies
React-Fabric/uimanager,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-Fabric/uimanager/consistency (= 0.86.3); React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-rendererconsistency; React-rendererdebug; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies
React-Fabric/uimanager/consistency,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-rendererconsistency; React-rendererdebug; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies
React-Fabric/viewtransition,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-rendererdebug; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies
